Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,ESG_Label,score_interesse,relacao_valor,propensao_esg,ESG_Label_Predito,faixa_propensao,categoria_produto,vence_em_dias,produtos_esg,valor_em_caixa,Renda Fixa,Multimercado,ETF,Renda Variável,Caixa,ValorEmCaixa
56,9400.10715254612,21,1602059.4634356955,11,2,Brasil,13.75,0,5,1,1,0,0,0,0,3,0.0,0,5,0.0,0.11154140801229236,0,0.11154140801229236,Multimercado,503,0,14583387.012845632,0.14204473249956795,0.10896111446200447,0.1464819329318671,0.15708470672656363,0.44542751337999686,14583387.012845632
69,15748.894486139397,92,10966784.097804174,18,0,Brasil,13.75,0,2,3,4,0,0,0,0,1,0.0,0,6,0.0,0.11390858628755773,0,0.11390858628755773,Caixa,1083,0,5263275.895473453,0.3021037459988947,0.12872496573663522,0.10367439480711771,0.05306932648116588,0.41242756697618643,5263275.895473453
46,11353.497018150116,99,38226422.19598691,18,1,Brasil,13.75,1,10,4,3,1,0,1,1,5,254756.56825061585,1,40,0.006664410294012564,0.739508128914847,1,0.739508128914847,Renda Fixa,301,0,4546592.451859436,0.15322673587707758,0.01576253370105063,0.009578870307034483,0.1344629737311361,0.6869688863837012,4546592.451859436
32,6634.901315926853,86,38145767.98710928,10,1,Brasil,13.75,1,8,3,2,1,0,1,1,4,267244.15522737976,1,24,0.0070058662421431436,0.6870924401568287,1,0.6870924401568287,Renda Fixa,522,1,7655202.9701389205,0.3122407870889224,0.1693919520682218,0.1675930091654217,0.08340713087564937,0.2673671208017848,7655202.9701389205
60,6295.497869322812,104,14099558.899559047,2,1,EUA,13.75,0,7,2,2,1,0,0,0,4,0.0,0,14,0.0,0.14772156451427598,0,0.14772156451427598,Caixa,773,0,4158824.312531865,0.2971136550647318,0.000603200035103868,0.12899328585661854,0.10792225090468031,0.46536760813886546,4158824.312531865
25,14424.660362445826,23,1733573.356843479,9,1,Brasil,13.75,0,6,2,3,1,0,1,0,3,0.0,0,12,0.0,0.16801478672175554,0,0.16801478672175554,Multimercado,708,0,4092159.070833453,0.31773992035788196,0.04535188618205128,0.14663003474625178,0.06750269978239094,0.422775458931424,4092159.070833453
38,6052.916869198655,64,7172006.62373398,14,0,Brasil,13.75,0,7,2,2,0,0,0,0,5,0.0,0,14,0.0,0.11218294041254771,0,0.11218294041254771,ETF,905,0,14494333.130152859,0.07490892487981005,0.04408787920090993,0.1874873605766576,0.10017339174054292,0.5933424436020796,14494333.130152859
56,13265.704292196335,67,15694789.55940727,19,1,EUA,13.75,0,3,1,1,1,0,0,0,1,0.0,0,3,0.0,0.11259331760603179,0,0.11259331760603179,ETF,1027,0,3917953.179303236,0.20641340802538052,0.2062663783492854,0.05203352610060379,0.24650949577603576,0.28877719174869454,3917953.179303236
36,13778.620742667836,40,37911710.1217895,10,1,Brasil,5.0,0,1,1,1,0,1,0,0,0,0.0,0,1,0.0,0.12699803672574494,0,0.12699803672574494,Multimercado,286,0,9082397.032274453,0.2850767153992312,0.1457675206223269,0.11792167734678315,0.22731184936397608,0.22392223726768268,9082397.032274453
40,8018.578544303932,114,5656550.550852025,4,2,Alemanha,13.75,0,0,1,1,0,1,0,1,0,0.0,1,0,0.0,0.4047888413259788,0,0.4047888413259788,Renda Variável,773,1,562662.7084047048,0.11366988146362389,0.2508108927422099,0.15202968824057372,0.14716173463202167,0.33632780292157083,562662.7084047048
28,15562.952335099562,10,30542998.58829181,6,0,Brasil,5.0,1,9,3,2,0,0,0,1,7,47175.13870122565,1,27,0.0015445483199793355,0.5746439359093737,1,0.5746439359093737,Caixa,261,1,2316084.36820468,0.3352105674466136,0.07945459324980401,0.10255835030694363,0.23475055063040468,0.248025938366234,2316084.36820468
28,5128.825504953471,89,4356214.749593936,14,2,Alemanha,13.75,0,1,1,1,1,0,0,1,0,0.0,0,1,0.0,0.15709889878476327,0,0.15709889878476327,Multimercado,1121,0,332180.99932133505,0.31172478634275597,0.06317231374188888,0.09721396342169722,0.2926695551933064,0.23521938130035158,332180.99932133505
