Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,ESG_Label
56,8590.452935703586,105,1042477.0249380359,8,1,EUA,13.75,0,3,1,2,0,0,0,0,1,239450.05767739707,0
69,13901.462442768041,81,701464.586580267,19,1,Brasil,5.0,1,14,3,3,1,0,1,0,9,87082.68934056949,1
46,14529.816866569203,50,1282752.0079308413,17,0,Brasil,13.75,0,3,3,4,0,0,0,0,1,202670.7047829508,0
32,10103.28729958414,61,897295.910410537,9,0,Brasil,13.75,0,2,2,3,0,0,0,0,1,121033.27541927004,0
60,8912.912170428499,115,172067.32597064646,16,0,Brasil,13.75,0,1,1,1,0,0,0,0,0,52829.36862000959,0
25,18438.08266310389,13,761840.1098605429,9,0,Brasil,5.0,0,3,2,2,0,0,0,0,1,147146.82650461647,0
38,12909.983502928215,12,1988203.5547181566,19,2,Brasil,13.75,0,6,1,1,1,0,0,0,3,341966.0113479361,0
56,14543.871002846952,29,106538.62135231154,16,2,Brasil,13.75,1,12,3,4,0,1,0,0,7,16468.97645575386,1
36,8711.69595268829,85,1396367.1546828442,13,0,EUA,5.0,1,13,5,5,1,1,1,1,8,384767.46466633497,1
40,7122.862133911225,84,1683965.5230917817,19,0,EUA,13.75,0,1,3,2,0,1,1,0,0,387340.82515599916,0
28,9722.200902031558,20,1300964.5479160037,5,2,Brasil,5.0,0,0,2,3,0,0,0,0,1,322662.1115980571,0
28,11503.914450440012,31,1143798.980014947,2,0,Brasil,13.75,0,7,2,2,0,0,0,0,5,330655.71975243906,0
41,7743.119972730605,8,1418033.2897877274,4,2,EUA,5.0,0,0,3,3,1,0,0,1,0,485617.20395398565,0
53,11960.620765398467,24,864392.0472263148,12,0,EUA,13.75,1,8,3,4,1,0,0,1,4,246608.8358794825,0
57,5245.979247726,75,191809.85724466474,18,1,EUA,5.0,1,13,3,3,0,0,1,0,9,65748.58409873852,1
41,7519.8103101205115,39,1925119.7910637297,3,1,Brasil,13.75,0,5,2,2,0,0,0,0,2,528276.9992471645,0
20,14683.6449931075,33,870278.5322685502,19,0,EUA,5.0,0,6,2,3,0,0,0,0,3,234369.86807200033,0
39,14415.162081111577,42,1334124.581964355,4,0,EUA,13.75,0,7,3,4,0,0,0,0,4,181519.013506377,0
19,10432.492938452535,15,1067307.7694096975,4,1,Brasil,13.75,1,14,5,5,1,1,0,1,10,131538.92061249624,1
41,7928.942763692188,68,118799.41323533356,16,1,EUA,13.75,1,9,5,5,1,0,0,1,6,12590.635236640763,0
61,7890.385793895956,65,1905965.7359751516,11,1,EUA,13.75,0,2,1,1,0,1,0,0,1,521148.15746868105,0
47,10506.927016234744,32,1587149.0799675034,13,0,Brasil,13.75,0,2,2,3,0,0,1,0,2,416252.84066726436,0
55,14578.073966581165,11,306704.8099940959,11,1,EUA,5.0,0,0,1,2,0,0,0,0,1,79078.44645821986,0
19,15712.982765377299,94,1963481.263813651,7,1,EUA,5.0,0,0,2,1,1,0,0,1,0,503178.59201789444,0
38,10013.873058072124,37,1476433.7306216988,14,1,Alemanha,13.75,0,1,3,4,0,0,0,0,1,401723.3140812307,0
50,7386.030296060864,19,949920.0843523346,4,0,Alemanha,13.75,0,2,2,2,0,0,0,0,1,293411.7315034619,0
29,13071.374551465333,51,1226626.4125535507,8,1,Brasil,2.0,0,7,2,2,0,0,0,0,4,345327.82187310327,0
39,8705.860117496602,100,222405.99720904906,12,1,Brasil,2.0,0,6,3,3,1,0,0,0,3,55562.3415021619,0
61,9926.98944455519,34,1125218.9049310659,13,2,Brasil,13.75,0,1,3,4,1,0,1,0,0,173827.6527899989,1
42,17301.10436174815,71,156585.53331394822,9,1,Alemanha,13.75,1,14,5,5,1,0,0,0,8,45694.41821113307,1
66,15308.461714263072,60,1094261.9616674108,9,0,Brasil,13.75,0,1,3,4,0,1,0,1,0,177714.92624950013,1
44,12631.897249005808,109,1109864.4206379429,2,0,Brasil,5.0,1,9,5,5,1,1,1,1,6,299750.03964646155,1
59,6912.323995549109,84,1750133.1824698804,3,0,Brasil,13.75,0,1,2,2,0,0,0,0,1,233950.87889411268,0
45,12845.586269882635,53,1452864.425541865,12,0,Brasil,2.0,0,5,3,3,1,0,0,1,4,330541.9154196478,0
33,16250.629163150106,12,506609.26050808886,17,0,Brasil,13.75,1,12,4,3,0,1,1,0,9,130820.21431365746,1
32,10497.465336937858,62,1777968.022953835,4,0,EUA,13.75,0,0,2,3,1,0,0,0,0,540139.3778006149,0
64,17404.45635994686,96,1150752.9030475316,14,0,Brasil,5.0,1,13,3,4,0,0,0,1,9,317187.1721873337,1
68,17170.981158072827,66,1216695.162362327,9,0,EUA,13.75,0,2,1,2,1,0,0,1,1,366966.32385910203,0
61,18654.931328573894,86,346272.9247521349,8,1,Brasil,13.75,0,4,2,2,0,1,0,0,3,108661.51087966388,0
69,13220.972506125412,105,1716969.4559785367,1,0,Brasil,13.75,0,6,1,1,0,0,0,0,3,548001.0074604346,0
20,14349.566799224049,48,1862620.5788829227,13,0,Brasil,13.75,0,5,3,2,0,0,0,0,3,596520.6116383326,0
54,17656.74915332436,40,1552231.3924948673,3,1,EUA,2.0,1,13,5,5,1,0,1,1,8,257478.86237322274,1
68,13789.575748275902,24,1882097.3807635624,14,0,Brasil,13.75,0,4,3,3,1,0,1,0,1,568349.3076787437,0
24,9995.063568839149,50,611576.8092034683,19,0,Brasil,13.75,1,10,3,3,1,1,0,0,5,63746.08208632207,1
38,10205.828653888555,95,1723627.1450419147,6,0,Brasil,13.75,1,12,4,5,1,0,1,1,8,575709.0323170323,1
26,12954.219815094957,68,982897.3542988476,4,1,Alemanha,13.75,1,11,4,4,0,1,0,1,6,144046.70174476228,1
56,6837.7543122151255,88,336195.233857734,1,2,Brasil,13.75,0,2,3,3,1,0,0,0,1,107876.94840355754,0
35,11426.96433854323,43,1340913.1920764684,10,0,EUA,13.75,0,3,1,2,0,0,1,1,1,403716.90820980724,0
21,16386.188472921014,17,1371399.338704699,13,1,Brasil,13.75,1,11,3,3,1,0,1,1,6,270693.5445981282,0
42,3234.984595338876,104,580979.7823758133,12,1,Brasil,13.75,0,6,3,3,0,0,0,1,4,198026.72081741513,0
31,18137.92840717806,83,64711.729938864424,11,1,Brasil,13.75,0,0,3,2,0,0,0,0,0,7992.890062894424,0
67,16489.496874812638,104,407696.04558027105,4,2,Brasil,13.75,0,6,3,3,0,0,0,0,5,70429.1504218998,0
26,10160.941536678096,102,805557.3198710346,17,2,Brasil,13.75,0,3,2,3,0,0,1,0,2,131552.94490406447,0
43,14173.563311487238,55,343450.1930091384,15,0,Brasil,5.0,0,1,1,1,0,1,0,1,0,35050.10073269306,0
19,12012.590907625306,34,396119.5969968123,3,1,Brasil,5.0,1,12,4,3,0,0,0,1,9,55913.66916911168,1
37,16919.96147375473,111,788867.4221207164,10,1,EUA,5.0,0,5,1,1,0,0,1,0,3,235484.34336915944,0
