Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,ESG_Label
56,8590.452935703586,105,1042477.0249380359,8,1,EUA,13.75,0,3,1,2,0,0,0,0,1,0.0,0
69,13901.462442768041,81,701464.586580267,19,1,Brasil,5.0,1,14,3,3,1,0,1,0,9,14174.757760390272,1
46,14529.816866569203,50,1282752.0079308413,17,0,Brasil,13.75,0,3,3,4,0,0,0,0,1,0.0,0
32,10103.28729958414,61,897295.910410537,9,0,Brasil,13.75,0,2,2,3,0,0,0,0,1,0.0,0
60,8912.912170428499,115,172067.32597064646,16,0,Brasil,13.75,0,1,1,1,0,0,0,0,0,0.0,0
25,18438.08266310389,13,761840.1098605429,9,0,Brasil,5.0,0,3,2,2,0,0,0,0,1,0.0,0
38,12909.983502928215,12,1988203.5547181566,19,2,Brasil,13.75,0,6,1,1,1,0,0,0,3,0.0,0
56,14543.871002846952,29,106538.62135231154,16,2,Brasil,13.75,1,12,3,4,0,1,0,0,7,25741.243069884003,1
36,8711.69595268829,85,1396367.1546828442,13,0,EUA,5.0,1,13,5,5,1,1,1,1,8,71708.59048988177,1
40,7122.862133911225,84,1683965.5230917817,19,0,EUA,13.75,0,1,3,2,0,1,1,0,0,0.0,0
28,9722.200902031558,20,1300964.5479160037,5,2,Brasil,5.0,0,0,2,3,0,0,0,0,1,0.0,0
28,11503.914450440012,31,1143798.980014947,2,0,Brasil,13.75,0,7,2,2,0,0,0,0,5,0.0,0
41,7743.119972730605,8,1418033.2897877274,4,2,EUA,5.0,0,0,3,3,1,0,0,1,0,0.0,0
53,11960.620765398467,24,864392.0472263148,12,0,EUA,13.75,1,8,3,4,1,0,0,1,4,75413.02616666473,0
57,5245.979247726,75,191809.85724466474,18,1,EUA,5.0,1,13,3,3,0,0,1,0,9,97256.40244156735,1
41,7519.8103101205115,39,1925119.7910637297,3,1,Brasil,13.75,0,5,2,2,0,0,0,0,2,0.0,0
20,14683.6449931075,33,870278.5322685502,19,0,EUA,5.0,0,6,2,3,0,0,0,0,3,0.0,0
39,14415.162081111577,42,1334124.581964355,4,0,EUA,13.75,0,7,3,4,0,0,0,0,4,0.0,0
19,10432.492938452535,15,1067307.7694096975,4,1,Brasil,13.75,1,14,5,5,1,1,0,1,10,13832.592496158777,1
41,7928.942763692188,68,118799.41323533356,16,1,EUA,13.75,1,9,5,5,1,0,0,1,6,7273.274586346962,0
61,7890.385793895956,65,1905965.7359751516,11,1,EUA,13.75,0,2,1,1,0,1,0,0,1,0.0,0
47,10506.927016234744,32,1587149.0799675034,13,0,Brasil,13.75,0,2,2,3,0,0,1,0,2,0.0,0
55,14578.073966581165,11,306704.8099940959,11,1,EUA,5.0,0,0,1,2,0,0,0,0,1,0.0,0
19,15712.982765377299,94,1963481.263813651,7,1,EUA,5.0,0,0,2,1,1,0,0,1,0,0.0,0
38,10013.873058072124,37,1476433.7306216988,14,1,Alemanha,13.75,0,1,3,4,0,0,0,0,1,0.0,0
50,7386.030296060864,19,949920.0843523346,4,0,Alemanha,13.75,0,2,2,2,0,0,0,0,1,0.0,0
29,13071.374551465333,51,1226626.4125535507,8,1,Brasil,2.0,0,7,2,2,0,0,0,0,4,0.0,0
39,8705.860117496602,100,222405.99720904906,12,1,Brasil,2.0,0,6,3,3,1,0,0,0,3,0.0,0
61,9926.98944455519,34,1125218.9049310659,13,2,Brasil,13.75,0,1,3,4,1,0,1,0,0,0.0,1
42,17301.10436174815,71,156585.53331394822,9,1,Alemanha,13.75,1,14,5,5,1,0,0,0,8,77890.69694207721,1
66,15308.461714263072,60,1094261.9616674108,9,0,Brasil,13.75,0,1,3,4,0,1,0,1,0,0.0,1
44,12631.897249005808,109,1109864.4206379429,2,0,Brasil,5.0,1,9,5,5,1,1,1,1,6,69629.66624354309,1
59,6912.323995549109,84,1750133.1824698804,3,0,Brasil,13.75,0,1,2,2,0,0,0,0,1,0.0,0
45,12845.586269882635,53,1452864.425541865,12,0,Brasil,2.0,0,5,3,3,1,0,0,1,4,0.0,0
33,16250.629163150106,12,506609.26050808886,17,0,Brasil,13.75,1,12,4,3,0,1,1,0,9,65126.278602434104,1
32,10497.465336937858,62,1777968.022953835,4,0,EUA,13.75,0,0,2,3,1,0,0,0,0,0.0,0
64,17404.45635994686,96,1150752.9030475316,14,0,Brasil,5.0,1,13,3,4,0,0,0,1,9,71741.10046734186,1
68,17170.981158072827,66,1216695.162362327,9,0,EUA,13.75,0,2,1,2,1,0,0,1,1,0.0,0
61,18654.931328573894,86,346272.9247521349,8,1,Brasil,13.75,0,4,2,2,0,1,0,0,3,0.0,0
69,13220.972506125412,105,1716969.4559785367,1,0,Brasil,13.75,0,6,1,1,0,0,0,0,3,0.0,0
20,14349.566799224049,48,1862620.5788829227,13,0,Brasil,13.75,0,5,3,2,0,0,0,0,3,0.0,0
54,17656.74915332436,40,1552231.3924948673,3,1,EUA,2.0,1,13,5,5,1,0,1,1,8,30033.107161017662,1
68,13789.575748275902,24,1882097.3807635624,14,0,Brasil,13.75,0,4,3,3,1,0,1,0,1,0.0,0
24,9995.063568839149,50,611576.8092034683,19,0,Brasil,13.75,1,10,3,3,1,1,0,0,5,6608.289307685893,1
38,10205.828653888555,95,1723627.1450419147,6,0,Brasil,13.75,1,12,4,5,1,0,1,1,8,93923.87266571644,1
26,12954.219815094957,68,982897.3542988476,4,1,Alemanha,13.75,1,11,4,4,0,1,0,1,6,22690.196360389007,1
56,6837.7543122151255,88,336195.233857734,1,2,Brasil,13.75,0,2,3,3,1,0,0,0,1,0.0,0
35,11426.96433854323,43,1340913.1920764684,10,0,EUA,13.75,0,3,1,2,0,0,1,1,1,0.0,0
21,16386.188472921014,17,1371399.338704699,13,1,Brasil,13.75,1,11,3,3,1,0,1,1,6,42006.268447266724,0
42,3234.984595338876,104,580979.7823758133,12,1,Brasil,13.75,0,6,3,3,0,0,0,1,4,0.0,0
31,18137.92840717806,83,64711.729938864424,11,1,Brasil,13.75,0,0,3,2,0,0,0,0,0,0.0,0
67,16489.496874812638,104,407696.04558027105,4,2,Brasil,13.75,0,6,3,3,0,0,0,0,5,0.0,0
26,10160.941536678096,102,805557.3198710346,17,2,Brasil,13.75,0,3,2,3,0,0,1,0,2,0.0,0
43,14173.563311487238,55,343450.1930091384,15,0,Brasil,5.0,0,1,1,1,0,1,0,1,0,0.0,0
19,12012.590907625306,34,396119.5969968123,3,1,Brasil,5.0,1,12,4,3,0,0,0,1,9,20638.331567911344,1
37,16919.96147375473,111,788867.4221207164,10,1,EUA,5.0,0,5,1,1,0,0,1,0,3,0.0,0
45,15930.732571079765,97,1923955.3624740352,14,2,Alemanha,13.75,1,9,5,5,0,1,1,1,6,84020.04490835247,1
64,6399.717107267963,70,1530844.5956612201,19,2,Brasil,5.0,0,5,2,3,0,0,0,0,2,0.0,0
24,14349.049653856706,60,646299.3184408626,4,0,Brasil,13.75,0,6,2,2,0,0,0,0,4,0.0,0
61,11177.488585427009,51,1903692.0971479109,14,0,Brasil,13.75,1,8,3,4,1,0,1,0,6,65069.10368936569,0
25,12331.3302820724,100,1294837.116594878,6,1,Brasil,13.75,1,8,3,4,1,0,1,1,4,60247.79963730969,1
64,9087.312396120738,77,916344.7928338789,12,1,Brasil,13.75,0,4,1,1,0,0,0,0,2,0.0,0
52,18992.548276483343,111,941917.3959207427,2,1,Brasil,13.75,0,2,2,2,0,0,1,0,2,0.0,0
31,16160.247279610303,73,827381.4909924298,17,1,Brasil,13.75,1,12,4,3,0,0,0,1,8,82746.8373078271,0
34,9040.91534410813,35,473654.18456642,1,0,Brasil,2.0,0,0,3,4,1,0,0,1,1,0.0,0
53,6661.55757235907,34,779398.0625052743,17,2,Brasil,13.75,0,3,3,2,0,0,0,0,2,0.0,0
67,10457.309476088607,16,1060513.8042463511,5,2,EUA,13.75,0,1,1,2,0,0,0,0,0,0.0,0
57,13738.010584365224,82,1060774.4279531399,16,1,Alemanha,13.75,1,12,3,4,0,0,1,0,9,84649.95594676171,1
21,12960.823375784892,18,1525856.435402911,14,1,EUA,13.75,0,0,1,1,1,1,0,0,0,0.0,0
19,17012.531299072973,38,724007.7357431316,10,1,Brasil,13.75,0,5,3,4,0,0,0,0,4,0.0,0
23,15159.678888723409,114,1436428.0783148652,3,0,EUA,13.75,0,2,2,2,0,0,0,0,2,0.0,0
59,15878.276103011627,43,1160402.7591496825,3,0,Brasil,13.75,1,10,5,5,1,0,0,0,6,64939.64571793158,1
21,13307.42160244175,32,1924072.3550084005,18,0,EUA,5.0,0,5,3,3,0,0,0,0,2,0.0,0
46,6442.805079156039,7,776717.0028076256,18,2,EUA,13.75,0,6,1,2,0,0,0,0,5,0.0,0
35,11217.205875412394,87,1803420.7638789727,4,1,Brasil,13.75,0,5,1,1,0,0,0,0,4,0.0,0
43,16240.358959634661,87,1643078.669123596,7,0,Brasil,2.0,0,2,2,3,1,1,0,1,1,0.0,1
61,11793.908285901416,46,1278951.9263330193,1,1,Brasil,13.75,0,7,3,2,0,0,0,0,4,0.0,0
51,14012.361474494986,61,1312483.7888168134,16,0,Brasil,13.75,1,12,3,2,1,0,1,0,9,75597.2669380652,1
27,10725.006739015467,18,178453.36986675725,17,0,Brasil,13.75,1,13,4,4,1,1,0,0,7,6070.956795393961,0
53,7880.75260583262,71,1900946.9651309303,8,1,EUA,13.75,1,14,4,4,1,0,0,1,9,46134.702502129934,1
31,11506.623743815559,106,222802.7663565304,6,1,Brasil,13.75,0,6,2,2,0,0,0,0,5,0.0,0
48,13236.189772130616,40,1130834.284399579,2,1,Brasil,5.0,0,3,2,3,0,0,0,0,1,0.0,0
65,9377.249122154226,88,666840.8928938174,10,1,Brasil,13.75,0,7,1,2,0,0,0,0,5,0.0,0
32,11057.155020573326,78,865405.436796805,17,1,Brasil,13.75,1,13,5,4,1,1,0,1,9,33941.41195703595,1
25,8242.14703205607,50,1224264.1915652659,19,1,EUA,2.0,1,8,5,5,0,1,0,1,6,67717.11734335659,1
31,16476.979670256384,5,1818614.24198582,4,1,Brasil,5.0,1,10,4,5,0,1,1,0,7,91702.41977595138,1
40,10822.176969647864,110,920558.5759088799,13,1,Brasil,13.75,0,7,1,2,0,1,0,0,4,0.0,0
57,17811.022180504733,54,1975581.8150598179,19,1,EUA,13.75,0,2,2,1,0,1,0,1,1,0.0,0
38,18114.991402163636,86,1189696.0100494844,16,1,Brasil,5.0,1,9,5,5,0,0,1,0,5,69741.35280396149,0
33,11675.816141113024,58,329502.3458579272,13,1,Brasil,5.0,0,5,1,1,0,0,0,1,2,0.0,0
62,7966.205069810601,22,388118.49671419204,5,0,EUA,13.75,0,0,2,3,0,1,0,0,1,0.0,0
35,3656.408489066651,74,1435060.9608226095,12,0,Brasil,13.75,0,6,2,1,0,0,0,0,5,0.0,0
64,6111.8517078928335,90,110291.6105443297,7,1,EUA,13.75,1,14,5,4,1,0,0,1,8,52340.09360722043,1
41,6504.660700405359,79,965879.7366822314,9,1,Brasil,13.75,0,2,3,3,0,0,0,0,2,0.0,0
43,17513.878509846018,38,304956.02850899805,5,1,Brasil,2.0,0,3,2,2,1,0,0,0,1,0.0,0
42,12463.298348907785,105,872105.0840039115,4,2,EUA,13.75,0,1,3,3,0,1,0,0,0,0.0,1
62,13558.418096367952,106,1502335.6699227218,10,1,Brasil,13.75,0,4,1,2,1,0,0,0,2,0.0,0
58,3118.3159642594965,119,923037.727200454,16,2,Brasil,13.75,0,6,3,2,1,0,0,0,3,0.0,0
46,7208.134283130954,49,335267.70687204466,11,1,Brasil,13.75,1,13,4,5,1,1,1,0,9,27584.05233734655,1
32,15548.319105785147,1,511331.48700971843,9,0,Brasil,13.75,0,4,1,1,0,1,0,0,1,0.0,1
62,13147.096449530345,78,741403.781417843,5,2,Brasil,13.75,1,14,4,5,1,1,1,1,10,33128.422839284554,1
18,11411.17888525761,36,148426.7551379653,11,2,Brasil,5.0,0,7,1,1,0,0,0,0,5,0.0,0
42,14259.36943440049,95,1172831.8958014324,9,1,Brasil,5.0,0,6,1,2,0,0,0,0,5,0.0,0
24,18543.19122454326,28,1218992.2446433199,17,0,Brasil,13.75,0,0,1,1,1,0,0,1,0,0.0,1
26,11115.830145851798,98,133682.33499380923,11,0,Alemanha,5.0,0,4,3,4,0,0,1,0,2,0.0,0
