Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,ESG_Label,score_interesse,relacao_valor,propensao_esg,ESG_Label_Predito,faixa_propensao,categoria_produto,vence_em_dias,produtos_esg,valor_em_caixa,Renda Fixa,Multimercado,ETF,Renda Variável,Caixa,ValorEmCaixa
56,8590.452935703586,105,1042477.0249380359,8,1,EUA,13.75,0,3,1,2,0,0,0,0,1,0.0,0,3,0.0,0.08443791244695763,0,Baixa,Renda Fixa,436,0,119522.6182163463,0.17248747675989287,0.1967528487083915,0.060753402407495806,0.04627982645822868,0.5237264456659911,119522.6182163463
69,13901.462442768041,81,701464.586580267,19,1,Brasil,5.0,1,14,3,3,1,0,1,0,9,14174.757760390272,1,42,0.020207345921977444,0.7926434710561884,1,Alta,Renda Fixa,297,1,9876.142755027995,0.06851754620488913,0.008951501841355125,0.1786824224818151,0.25142627099878523,0.49242225847315546,9876.142755027995
46,14529.816866569203,50,1282752.0079308413,17,0,Brasil,13.75,0,3,3,4,0,0,0,0,1,0.0,0,9,0.0,0.08376833176999537,0,Baixa,ETF,454,0,91499.39758041591,0.33739508223445785,0.23731764646621487,0.1918001407863734,0.2556254258612307,-0.022138295348276937,91499.39758041591
32,10103.28729958414,61,897295.910410537,9,0,Brasil,13.75,0,2,2,3,0,0,0,0,1,0.0,0,4,0.0,0.0844676316366702,0,Baixa,ETF,702,0,67575.45236693317,0.20848835075957625,0.2931146103049869,0.1048224520302302,0.07448626073569287,0.31908832616951377,67575.45236693317
60,8912.912170428499,115,172067.32597064646,16,0,Brasil,13.75,0,1,1,1,0,0,0,0,0,0.0,0,1,0.0,0.08374795850006729,0,Baixa,Renda Variável,891,0,77673.33827544417,0.3037276132798999,0.2104755759709531,0.0052507169803411415,0.1086372320878481,0.3719088616809577,77673.33827544417
25,18438.08266310389,13,761840.1098605429,9,0,Brasil,5.0,0,3,2,2,0,0,0,0,1,0.0,0,6,0.0,0.08380613136897797,0,Baixa,Caixa,324,0,6306.815568083503,0.00781203000141657,0.12964530979204858,0.02719936183781868,0.10953997910919487,0.7258033192595212,6306.815568083503
38,12909.983502928215,12,1988203.5547181566,19,2,Brasil,13.75,0,6,1,1,1,0,0,0,3,0.0,0,6,0.0,0.1524276053000204,0,Baixa,Renda Variável,60,0,107322.93851766374,0.39142178308260084,0.2957277136102622,0.06953207543530347,0.2354044913643046,0.007913936507528807,107322.93851766374
56,14543.871002846952,29,106538.62135231154,16,2,Brasil,13.75,1,12,3,4,0,1,0,0,7,25741.243069884003,1,36,0.24161192562118589,0.6445531548616259,1,Média,Multimercado,1028,1,23627.2558844102,0.21195468414823024,0.1951938981353923,0.031462603306045715,0.07906222354024744,0.4823265908700842,23627.2558844102
36,8711.69595268829,85,1396367.1546828442,13,0,EUA,5.0,1,13,5,5,1,1,1,1,8,71708.59048988177,1,65,0.05135364212467942,0.8684414912913456,1,Alta,Caixa,394,1,4320.314262935728,0.3193766668614184,0.18777901627455923,0.038162501336258314,0.1978139579681449,0.25686785755961916,4320.314262935728
40,7122.862133911225,84,1683965.5230917817,19,0,EUA,13.75,0,1,3,2,0,1,1,0,0,0.0,0,3,0.0,0.09574750692233829,0,Baixa,Caixa,431,0,15678.023080329,0.24577859975832062,0.0018642463476913006,0.14787844787389443,0.1548410514893214,0.4496376545307723,15678.023080329
28,9722.200902031558,20,1300964.5479160037,5,2,Brasil,5.0,0,0,2,3,0,0,0,0,1,0.0,0,0,0.0,0.08376938620039061,0,Baixa,Renda Variável,330,0,74781.69463779476,0.12517600821487732,0.2635661219671565,0.07383079301529971,0.14211194340504832,0.39531513339761815,74781.69463779476
28,11503.914450440012,31,1143798.980014947,2,0,Brasil,13.75,0,7,2,2,0,0,0,0,5,0.0,0,14,0.0,0.08401983938137163,0,Baixa,Renda Fixa,824,1,110043.22771998508,0.10347258474876364,0.10284682486118382,0.14049555903994654,0.0932727411001323,0.5599122902499737,110043.22771998508
41,7743.119972730605,8,1418033.2897877274,4,2,EUA,5.0,0,0,3,3,1,0,0,1,0,0.0,0,0,0.0,0.14719245105769393,0,Baixa,Multimercado,233,1,149020.48501457938,0.3898564033117775,0.04332267626233297,0.08407787017132076,0.045712981206093885,0.43703006904847486,149020.48501457938
53,11960.620765398467,24,864392.0472263148,12,0,EUA,13.75,1,8,3,4,1,0,0,1,4,75413.02616666473,0,24,0.08724390647131171,0.4179869393568914,0,Média,Renda Variável,996,0,144467.2305069811,0.1582281623180194,0.2461334886797138,0.058394192932881776,0.12129118063118034,0.41595297543820464,144467.2305069811
57,5245.979247726,75,191809.85724466474,18,1,EUA,5.0,1,13,3,3,0,0,1,0,9,97256.40244156735,1,39,0.507043260421446,0.8299361836020536,1,Alta,Caixa,770,1,122836.69769416477,0.09207404865538425,0.10824375169454972,0.1782610958677463,0.0850299225415974,0.5363911812407223,122836.69769416477
41,7519.8103101205115,39,1925119.7910637297,3,1,Brasil,13.75,0,5,2,2,0,0,0,0,2,0.0,0,10,0.0,0.08423460337656397,0,Baixa,Renda Fixa,1005,0,147565.9296431757,0.21949210747476597,0.040041330424120454,0.16139054766728578,0.21967864737924062,0.35939736705458714,147565.9296431757
20,14683.6449931075,33,870278.5322685502,19,0,EUA,5.0,0,6,2,3,0,0,0,0,3,0.0,0,12,0.0,0.0845934395276286,0,Baixa,Caixa,344,0,145893.1246713542,0.2255849352118005,0.2115289688025013,0.007771750291232116,0.06315621457647204,0.491958131117994,145893.1246713542
39,14415.162081111577,42,1334124.581964355,4,0,EUA,13.75,0,7,3,4,0,0,0,0,4,0.0,0,21,0.0,0.08395911251248682,0,Baixa,Renda Fixa,123,0,142699.98832073045,0.21992853111801494,0.0628190648736741,0.05259598354410118,0.07715226409954351,0.5875041563646664,142699.98832073045
19,10432.492938452535,15,1067307.7694096975,4,1,Brasil,13.75,1,14,5,5,1,1,0,1,10,13832.592496158777,1,70,0.012960253764062341,0.8631857999143541,1,Alta,Multimercado,1137,1,98204.38560480434,0.28688470430185325,0.14552049038606638,0.022914041491198734,0.19596527794464552,0.34871548587623613,98204.38560480434
41,7928.942763692188,68,118799.41323533356,16,1,EUA,13.75,1,9,5,5,1,0,0,1,6,7273.274586346962,0,45,0.06122263709587626,0.3807371624025387,0,Baixa,Multimercado,1067,0,138026.35084244053,0.028010063546034882,0.05826408923566146,0.16960693297203736,0.14510288597659823,0.599016028269668,138026.35084244053
61,7890.385793895956,65,1905965.7359751516,11,1,EUA,13.75,0,2,1,1,0,1,0,0,1,0.0,0,2,0.0,0.09184037304112747,0,Baixa,ETF,460,0,33936.250308949944,0.1872515622826915,0.21158628316328476,0.193381041756375,0.03491102491343504,0.3728700878842137,33936.250308949944
47,10506.927016234744,32,1587149.0799675034,13,0,Brasil,13.75,0,2,2,3,0,0,1,0,2,0.0,0,4,0.0,0.317033822326497,0,Baixa,ETF,817,0,23819.05898058106,0.24475820482276972,0.20592041397820254,0.0025657039555154306,0.22741651171064026,0.3193391655328721,23819.05898058106
55,14578.073966581165,11,306704.8099940959,11,1,EUA,5.0,0,0,1,2,0,0,0,0,1,0.0,0,0,0.0,0.08469655587418111,0,Baixa,Renda Fixa,283,1,58639.239569097546,0.12709746057271679,0.2246672462797965,0.1310624748962189,0.12203313006584732,0.39513968818542056,58639.239569097546
19,15712.982765377299,94,1963481.263813651,7,1,EUA,5.0,0,0,2,1,1,0,0,1,0,0.0,0,0,0.0,0.09586312972193815,0,Baixa,ETF,636,0,48206.08375777839,0.15856767498038074,0.022974775876588936,0.17913668575726183,0.09055907566905909,0.5487617877167095,48206.08375777839
