nome,idade,perfil_risco,propensao_esg,faixa_propensao,categoria_produto,vence_em_dias,produtos_esg,valor_em_caixa,Renda Fixa,Multimercado,ETF,Renda Variável,Caixa
Cliente 1,56,Moderado,0.38,Baixa,Renda Fixa,151,0,26146.16,31370.69,11429.87,15274.93,15778.34,26146.16
Cliente 2,69,Agressivo,0.2,Baixa,Renda Fixa,70,1,10595.24,2219.46,29613.1,83.51,57488.69,10595.24
Cliente 3,46,Moderado,0.48,Média,Caixa,127,0,3312.74,309.88,28775.14,38612.32,28989.92,3312.74
Cliente 4,32,Agressivo,0.19,Baixa,Renda Variável,157,0,13279.54,28853.17,37141.42,18883.41,1842.45,13279.54
Cliente 5,60,Moderado,0.17,Baixa,Multimercado,44,0,56556.81,1309.0,8222.65,2255.27,31656.27,56556.81
Cliente 6,25,Conservador,0.62,Média,Renda Variável,143,1,35162.13,2027.21,38715.27,21812.38,2283.01,35162.13
Cliente 7,78,Conservador,0.52,Média,ETF,135,0,21034.64,4098.6,6020.56,41010.94,27835.26,21034.64
Cliente 8,38,Conservador,0.67,Média,Renda Fixa,144,0,9851.89,40319.52,7907.21,36016.25,5905.13,9851.89
Cliente 9,56,Conservador,0.93,Alta,Renda Fixa,22,1,57319.41,9953.24,1377.16,9714.67,21635.52,57319.41
Cliente 10,75,Conservador,0.53,Média,Multimercado,155,1,31180.97,16210.82,23951.61,26632.97,2023.64,31180.97
Cliente 11,36,Moderado,0.58,Média,Multimercado,11,0,3052.33,34230.56,32259.62,15919.28,14538.21,3052.33
Cliente 12,40,Moderado,0.09,Baixa,Renda Fixa,78,0,5615.9,3061.43,37878.75,30771.08,22672.84,5615.9
Cliente 13,28,Agressivo,0.72,Média,Multimercado,7,0,53035.84,5.82,30920.89,2073.25,13964.2,53035.84
Cliente 14,28,Agressivo,0.4,Baixa,ETF,146,0,22622.34,5370.01,36407.52,1114.3,34485.83,22622.34
Cliente 15,41,Moderado,0.98,Alta,Renda Fixa,111,1,8652.25,28134.27,5718.0,23660.91,33834.58,8652.25
Cliente 16,70,Agressivo,0.82,Alta,ETF,119,0,8525.31,57821.96,1625.8,20191.93,11835.0,8525.31
Cliente 17,53,Agressivo,0.52,Média,Renda Variável,10,0,57180.08,73.91,3087.63,21102.54,18555.83,57180.08
Cliente 18,57,Moderado,0.12,Baixa,Caixa,41,0,16840.73,18871.14,48244.55,5244.44,10799.15,16840.73
Cliente 19,41,Conservador,0.86,Alta,Multimercado,104,1,11205.39,8173.58,57532.77,12707.19,10381.07,11205.39
Cliente 20,20,Conservador,0.8,Alta,Renda Fixa,72,1,26622.69,41003.63,4308.75,16812.63,11252.31,26622.69
Cliente 21,39,Conservador,0.18,Baixa,Multimercado,136,1,18450.56,12601.73,41826.89,4791.07,22329.75,18450.56
Cliente 22,70,Conservador,0.3,Baixa,Renda Variável,53,1,681.42,33948.09,1707.78,16980.89,46681.82,681.42
Cliente 23,19,Conservador,0.79,Alta,Multimercado,52,1,45242.32,22591.43,2328.32,1147.38,28690.55,45242.32
Cliente 24,41,Agressivo,0.19,Baixa,Renda Fixa,99,1,31471.51,1817.54,20123.52,4783.88,41803.55,31471.51
Cliente 25,61,Agressivo,0.92,Alta,Caixa,170,0,26656.51,15737.71,20016.92,15271.18,22317.68,26656.51
Cliente 26,47,Conservador,0.42,Média,Renda Fixa,103,1,21139.43,47055.72,10404.31,16087.64,5312.9,21139.43
Cliente 27,55,Conservador,0.09,Baixa,Multimercado,164,1,23519.95,53306.69,1917.19,244.26,21011.91,23519.95
Cliente 28,19,Conservador,0.82,Alta,Renda Fixa,125,1,8450.85,19126.7,13500.27,13989.83,44932.35,8450.85
Cliente 29,77,Moderado,0.37,Baixa,Renda Fixa,159,0,27086.15,19.54,5140.95,14998.53,52754.83,27086.15
Cliente 30,38,Moderado,0.53,Média,ETF,156,0,4798.87,51413.74,27056.97,9992.09,6738.33,4798.87
Cliente 31,50,Agressivo,0.11,Baixa,Renda Variável,89,1,20205.08,50268.07,16774.27,11635.45,1117.14,20205.08
Cliente 32,29,Moderado,0.0,Baixa,Renda Variável,21,0,24886.45,21628.98,11631.74,35905.96,5946.87,24886.45
Cliente 33,75,Agressivo,0.64,Média,ETF,44,0,28325.2,3458.71,19499.77,14578.62,34137.7,28325.2
Cliente 34,39,Agressivo,0.52,Média,ETF,64,0,25204.48,3573.04,37464.53,22714.27,11043.68,25204.48
Cliente 35,78,Conservador,0.59,Média,Multimercado,25,0,1140.52,53702.17,7503.73,23540.3,14113.28,1140.52
Cliente 36,61,Agressivo,0.79,Alta,ETF,14,1,12790.64,63518.89,16374.8,6230.33,1085.34,12790.64
Cliente 37,42,Moderado,0.65,Média,Multimercado,77,1,42416.2,17905.13,29351.68,2044.94,8282.05,42416.2
Cliente 38,66,Moderado,0.17,Baixa,Caixa,107,0,15314.66,4638.22,14313.88,19198.21,46535.03,15314.66
Cliente 39,44,Moderado,0.36,Baixa,Renda Fixa,15,1,13860.35,1897.57,68188.56,9648.25,6405.28,13860.35
Cliente 40,76,Agressivo,0.91,Alta,ETF,100,0,5875.83,21085.41,36686.93,8670.72,27681.1,5875.83
Cliente 41,59,Moderado,0.77,Alta,Renda Variável,114,0,479.59,84501.38,6500.13,8078.78,440.11,479.59
Cliente 42,45,Agressivo,0.56,Média,Caixa,105,1,29105.44,18335.29,22119.58,24773.4,5666.3,29105.44
Cliente 43,77,Agressivo,0.26,Baixa,Renda Variável,87,1,35758.8,34886.63,8727.87,6210.01,14416.69,35758.8
Cliente 44,33,Moderado,0.3,Baixa,Renda Variável,169,0,16789.0,56137.72,26265.24,462.89,345.15,16789.0
Cliente 45,32,Agressivo,0.73,Média,ETF,21,0,26995.29,20810.57,5194.31,8027.93,38971.91,26995.29
Cliente 46,79,Moderado,0.85,Alta,ETF,33,0,43179.0,5258.39,9607.69,41946.66,8.26,43179.0
Cliente 47,79,Moderado,0.67,Média,ETF,98,0,3007.19,21582.33,22732.12,20771.48,31906.88,3007.19
Cliente 48,64,Moderado,0.81,Alta,Caixa,90,1,6729.03,8098.26,4442.13,13408.34,67322.24,6729.03
Cliente 49,79,Conservador,0.77,Alta,Multimercado,58,0,2576.02,25647.06,6597.09,5103.01,60076.82,2576.02
Cliente 50,68,Agressivo,0.15,Baixa,Renda Fixa,67,0,18710.34,22909.04,4269.25,51474.61,2636.77,18710.34
Cliente 51,61,Moderado,0.42,Média,Caixa,46,0,37495.8,26014.56,16972.66,11425.08,8091.9,37495.8
Cliente 52,72,Moderado,0.15,Baixa,Multimercado,115,0,8225.59,37221.02,28365.38,6914.28,19273.74,8225.59
Cliente 53,69,Agressivo,0.24,Baixa,Renda Fixa,67,1,6328.5,24393.42,5617.56,10986.7,52673.82,6328.5
Cliente 54,74,Conservador,0.87,Alta,Caixa,163,1,23987.13,37525.08,9387.13,6991.54,22109.11,23987.13
